text,label
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
Light travels faster than sound,REAL
The Amazon is a rainforest,REAL
The human body has 206 bones,REAL
Aliens landed in New York,FAKE
Drinking petrol cures fever,FAKE
The Earth is flat,FAKE
Time travel is possible,FAKE
Dinosaurs are alive today,FAKE
The Sun rises in the west,FAKE
Elephants can fly,FAKE
Gold can be made from lead,FAKE
Humans can live without water,FAKE
Chocolate cures all diseases,FAKE
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
Virat Kohli is an Indian cricketer,REAL
Earth revolves around the Sun,REAL
Water freezes at 0 degrees Celsius,REAL
Mount Everest is the tallest mountain,REAL
The Moon orbits the Earth,REAL
India is a country in Asia,REAL
The Pacific is the largest ocean,REAL
